country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2023-12-31,Films,2,The Boss Baby: Family Business,N/A,1
Argentina,AR,2023-12-31,Films,3,Norma,N/A,2
Argentina,AR,2023-12-31,Films,4,The Book of Life,N/A,1
Argentina,AR,2023-12-31,Films,5,Leave the World Behind,N/A,4
Argentina,AR,2023-12-31,Films,6,Pretty Woman,N/A,1
Argentina,AR,2023-12-31,Films,7,Good Will Hunting,N/A,2
Argentina,AR,2023-12-31,Films,8,Permitidos,N/A,2
Argentina,AR,2023-12-31,Films,9,How the Grinch Stole Christmas,N/A,3
Argentina,AR,2023-12-31,Films,10,Gone Baby Gone,N/A,2
Argentina,AR,2023-12-31,TV,1,Berlin,Berlin: Season 1,1
Argentina,AR,2023-12-31,TV,2,The Manny,N/A,1
Argentina,AR,2023-12-31,TV,3,Captains of the World,Captains of the World: Season 1,1
Argentina,AR,2023-12-31,TV,4,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,4
Argentina,AR,2023-12-31,TV,5,True Beauty,N/A,3
Argentina,AR,2023-12-31,TV,6,High Tides,High Tides: Season 1,3
Argentina,AR,2023-12-31,TV,7,The Crown,The Crown: Season 6,6
Argentina,AR,2023-12-31,TV,8,A Nearly Normal Family,A Nearly Normal Family: Limited Series,6
Argentina,AR,2023-12-31,TV,9,Gyeongseong Creature,Gyeongseong Creature: Season 1,1
Argentina,AR,2023-12-31,TV,10,My Demon,My Demon: Limited Series,5
Argentina,AR,2023-12-24,Films,1,Leave the World Behind,N/A,3
Argentina,AR,2023-12-24,Films,2,Rebel Moon — Part One: A Child of Fire,N/A,1
Argentina,AR,2023-12-24,Films,3,Un Dia En El Paraiso,N/A,1
Argentina,AR,2023-12-24,Films,4,Norma,N/A,1
Argentina,AR,2023-12-24,Films,5,Chicken Run: Dawn of the Nugget,N/A,2
Argentina,AR,2023-12-24,Films,6,The Marine,N/A,1
Argentina,AR,2023-12-24,Films,7,Gone Baby Gone,N/A,1
